time	V(n003)
7.589647155255079e-01	3.794824e-01
7.687303405255079e-01	3.843652e-01
7.784959655255079e-01	3.892480e-01
7.882615905255079e-01	3.941308e-01
7.980272155255079e-01	3.990136e-01
8.077928405255079e-01	4.038964e-01
8.175584655255079e-01	4.087792e-01
8.273240905255079e-01	4.136620e-01
8.370897155255079e-01	4.185449e-01
8.468553405255079e-01	4.234277e-01
8.566209655255079e-01	4.283105e-01
8.663865905255079e-01	4.331933e-01
8.761522155255079e-01	4.380761e-01
8.859178405255079e-01	4.429589e-01
8.956834655255079e-01	4.478417e-01
9.054490905255079e-01	4.527245e-01
9.152147155255079e-01	4.576074e-01
9.249803405255079e-01	4.624902e-01
9.347459655255079e-01	4.673730e-01
9.445115905255079e-01	4.722558e-01
9.542772155255079e-01	4.771386e-01
9.640428405255079e-01	4.820214e-01
9.738084655255079e-01	4.869042e-01
9.835740905255079e-01	4.917870e-01
9.933397155255079e-01	4.966699e-01
1.003105340525508e+00	5.015526e-01
1.012870965525508e+00	5.064355e-01
1.022636590525508e+00	5.113183e-01
1.032402215525508e+00	5.162011e-01
1.042167840525508e+00	5.210839e-01
1.051933465525508e+00	5.259667e-01
1.061699090525508e+00	5.308495e-01
1.071464715525508e+00	5.357323e-01
1.081230340525508e+00	5.406151e-01
1.090995965525508e+00	5.454980e-01
1.100761590525508e+00	5.503808e-01
1.110527215525508e+00	5.552636e-01
1.120292840525508e+00	5.601464e-01
1.130058465525508e+00	5.650292e-01
1.139824090525508e+00	5.699120e-01
1.149589715525508e+00	5.747948e-01
1.159355340525508e+00	5.796776e-01
1.169120965525508e+00	5.845605e-01
1.178886590525508e+00	5.894433e-01
1.188652215525508e+00	5.943261e-01
1.198417840525508e+00	5.992089e-01
1.208183465525508e+00	6.040917e-01
1.217949090525508e+00	6.089745e-01
1.227714715525508e+00	6.138573e-01
1.237480340525508e+00	6.187401e-01
1.247245965525508e+00	6.236230e-01
1.257011590525508e+00	6.285058e-01
1.266777215525508e+00	6.333886e-01
1.276542840525508e+00	6.382714e-01
1.286308465525508e+00	6.431542e-01
1.296074090525508e+00	6.480370e-01
1.305839715525508e+00	6.529198e-01
1.315605340525508e+00	6.578026e-01
1.325370965525508e+00	6.626855e-01
1.335136590525508e+00	6.675683e-01
1.344902215525508e+00	6.724511e-01
1.354667840525508e+00	6.773339e-01
1.364433465525508e+00	6.822167e-01
1.374199090525508e+00	6.870995e-01
1.383964715525508e+00	6.919823e-01
1.393730340525508e+00	6.968651e-01
1.403495965525508e+00	7.017480e-01
1.413261590525508e+00	7.066308e-01
1.423027215525508e+00	7.115136e-01
1.432792840525508e+00	7.163964e-01
1.442558465525508e+00	7.212792e-01
1.452324090525508e+00	7.261620e-01
1.462089715525508e+00	7.310448e-01
1.471855340525508e+00	7.359276e-01
1.481620965525508e+00	7.408105e-01
1.491386590525508e+00	7.456933e-01
1.501152215525508e+00	7.505761e-01
1.510917840525508e+00	7.554589e-01
1.520683465525508e+00	7.603417e-01
1.530449090525508e+00	7.652245e-01
1.540214715525508e+00	7.701073e-01
1.549980340525508e+00	7.749901e-01
1.559745965525508e+00	7.798730e-01
1.569511590525508e+00	7.847558e-01
1.579277215525508e+00	7.896386e-01
1.589042840525508e+00	7.945214e-01
1.598808465525508e+00	7.994042e-01
1.608574090525508e+00	8.042870e-01
1.618339715525508e+00	8.091698e-01
1.628105340525508e+00	8.140526e-01
1.637870965525508e+00	8.189355e-01
1.647636590525508e+00	8.238183e-01
1.657402215525508e+00	8.287011e-01
1.667167840525508e+00	8.335839e-01
1.676933465525508e+00	8.384667e-01
1.686699090525508e+00	8.433495e-01
1.696464715525508e+00	8.482323e-01
1.706230340525508e+00	8.531151e-01
1.715995965525508e+00	8.579980e-01
1.725761590525508e+00	8.628808e-01
1.735527215525508e+00	8.677636e-01
1.745292840525508e+00	8.726464e-01
1.755058465525508e+00	8.775292e-01
1.764824090525508e+00	8.824120e-01
1.774589715525508e+00	8.872948e-01
1.784355340525508e+00	8.921776e-01
1.794120965525508e+00	8.970605e-01
1.803886590525508e+00	9.019433e-01
1.813652215525508e+00	9.068261e-01
1.823417840525508e+00	9.117089e-01
1.833183465525508e+00	9.165917e-01
1.842949090525508e+00	9.214745e-01
1.852714715525508e+00	9.263573e-01
1.862480340525508e+00	9.312401e-01
1.872245965525508e+00	9.361230e-01
1.882011590525508e+00	9.410058e-01
1.891777215525508e+00	9.458886e-01
1.901542840525508e+00	9.507714e-01
1.911308465525508e+00	9.556542e-01
1.921074090525508e+00	9.605370e-01
1.930839715525508e+00	9.654198e-01
1.940605340525508e+00	9.703026e-01
1.950370965525508e+00	9.751855e-01
1.960136590525508e+00	9.800683e-01
1.969902215525508e+00	9.849511e-01
1.979667840525508e+00	9.898339e-01
1.989433465525508e+00	9.947167e-01
1.999199090525508e+00	9.995995e-01
2.008964715525508e+00	1.004482e+00
2.018730340525508e+00	1.009365e+00
2.028495965525508e+00	1.014248e+00
2.038261590525508e+00	1.019131e+00
2.048027215525508e+00	1.024014e+00
2.057792840525508e+00	1.028896e+00
2.067558465525508e+00	1.033779e+00
2.077324090525508e+00	1.038662e+00
2.087089715525508e+00	1.043545e+00
2.096855340525508e+00	1.048428e+00
2.106620965525508e+00	1.053311e+00
2.116386590525508e+00	1.058193e+00
2.126152215525508e+00	1.063076e+00
2.135917840525508e+00	1.067959e+00
2.145683465525508e+00	1.072842e+00
2.155449090525508e+00	1.077725e+00
2.165214715525508e+00	1.082607e+00
2.174980340525508e+00	1.087490e+00
2.184745965525508e+00	1.092373e+00
2.194511590525508e+00	1.097256e+00
2.204277215525508e+00	1.102139e+00
2.214042840525508e+00	1.107021e+00
2.223808465525508e+00	1.111904e+00
2.233574090525508e+00	1.116787e+00
2.243339715525508e+00	1.121670e+00
2.253105340525508e+00	1.126553e+00
2.262870965525508e+00	1.131436e+00
2.272636590525508e+00	1.136318e+00
2.282402215525508e+00	1.141201e+00
2.292167840525508e+00	1.146084e+00
2.301933465525508e+00	1.150967e+00
2.311699090525508e+00	1.155850e+00
2.321464715525508e+00	1.160732e+00
2.331230340525508e+00	1.165615e+00
2.340995965525508e+00	1.170498e+00
2.350761590525508e+00	1.175381e+00
2.360527215525508e+00	1.180264e+00
2.370292840525508e+00	1.185146e+00
2.380058465525508e+00	1.190029e+00
2.389824090525508e+00	1.194912e+00
2.399589715525508e+00	1.199795e+00
2.409355340525508e+00	1.204678e+00
2.419120965525508e+00	1.209561e+00
2.428886590525508e+00	1.214443e+00
2.438652215525508e+00	1.219326e+00
2.448417840525508e+00	1.224209e+00
2.458183465525508e+00	1.229092e+00
2.467949090525508e+00	1.233975e+00
2.477714715525508e+00	1.238857e+00
2.487480340525508e+00	1.243740e+00
2.497245965525508e+00	1.248623e+00
2.507011590525508e+00	1.253506e+00
2.516777215525508e+00	1.258389e+00
2.526542840525508e+00	1.263271e+00
